"Catalan Proverb","English Translation","Sentiment"
"Les excuses són com el paper higiènic, tothom les fa servir.","Excuses are like toilet paper, everyone uses them.","Negative"
"No tot el que brilla és or.","Not all that glitters is gold.","Neutral"
"Al final tot s'acaba sabent.","In the end, everything is known.","Neutral"
"Qui vol peix, que es mulli el cul.","He who wants fish, must wet his ass.","Neutral"
"No per molts camins arribes més aviat.","You don't arrive earlier by taking many roads.","Neutral"
"Si plou a l'abril, bon pa.","If it rains in April, good bread.","Positive"
"Qui tem el mal no viu.","He who fears the bad, does not live.","Negative"
"L’alegria del cor fa créixer el cos.","The joy of the heart makes the body grow.","Positive"
"De dos mals, el menor.","Of two evils, the lesser.","Neutral"
"Val més estar sol que mal acompanyat.","Better to be alone than in bad company.","Positive"
"L'amor entra pels ulls.","Love enters through the eyes.","Positive"
"Quan hi ha gana, no hi ha pa sec.","When you're hungry, there's no such thing as dry bread.","Neutral"
"Això és l'arbre de la vida.","This is the tree of life.","Neutral"
"Més val tard que mai.","Better late than never.","Positive"
"D'on menys t'ho esperes, surt el sol.","From where you least expect, the sun rises.","Positive"
"En boca tancada no entren mosques.","Flies don't enter a closed mouth.","Negative"
"A l'últim crit, tot es resol.","At the last shout, everything is solved.","Neutral"
"La paciència és la mare de la ciència.","Patience is the mother of science.","Positive"
"Qui fa el que pot, no està obligat a més.","He who does what he can, is not obliged to more.","Neutral"
"Tots els camins porten a Roma.","All roads lead to Rome.","Neutral"
"La sort és per a qui la busca.","Luck is for those who seek it.","Positive"
"Qui avisa no és traïdor.","He who warns is not a traitor.","Positive"
"El que no arrisca, no guanya.","Nothing ventured, nothing gained.","Positive"
"Dona't per vençut quan puguis.","Give up when you can.","Negative"
"Per molts gols que facis, sempre n'hi haurà un millor.","No matter how many goals you score, there will always be a better one.","Neutral"
"Quan el riu és tranquil, tothom pot travessar-lo.","When the river is calm, everyone can cross it.","Neutral"
"La caritat comença per un mateix.","Charity begins at home.","Positive"
"Cada vent té el seu furó.","Every wind has its hole.","Neutral"
"Al món res és etern.","Nothing in the world is eternal.","Neutral"
"Qui no té feina, el gat pentina.","He who has no work, combs the cat.","Negative"
"En terra de cecs, el tort és rei.","In the land of the blind, the one-eyed man is king.","Neutral"
"Mai diguis mai.","Never say never.","Neutral"
"Totes les màscares cauen al final.","All masks fall in the end.","Neutral"
"Camarada, el temps és or.","Comrade, time is gold.","Positive"
"Els petits gestos són els més grans.","Small gestures are the greatest.","Positive"
"Amb paciència, tot es resol.","With patience, everything is solved.","Positive"
"Tothom té un lloc al món.","Everyone has a place in the world.","Positive"
"L’arbre que neix torçat mai endreça la seva branca.","The tree that is born crooked never straightens its branch.","Negative"
"Qui no aprèn del passat, es condena a repetir-lo.","He who doesn't learn from the past is condemned to repeat it.","Negative"
"L’amistat és com una planta, cal cuidar-la.","Friendship is like a plant, it needs care.","Positive"
"Si tens un problema, comparteix-lo.","If you have a problem, share it.","Positive"
"La fe mou muntanyes.","Faith moves mountains.","Positive"
"No tot el que brilla és or.","Not all that glitters is gold.","Neutral"
"A la mar, tot el peix és bo.","In the sea, all fish are good.","Neutral"
"Qui guarda, troba.","He who saves, finds.","Positive"
"A qui està a l'ombra, li cal la llum.","He who is in the shadow, needs light.","Neutral"
"De l'amor a l'odi només hi ha un pas.","From love to hate, there is only one step.","Negative"
"El més important no és el que tens, sinó el que fas.","The most important thing is not what you have, but what you do.","Positive"
"Qui té paciència, tot ho aconsegueix.","He who has patience, achieves everything.","Positive"
"Més val un amic que cent coneguts.","Better one friend than a hundred acquaintances.","Positive"
"Qui té boca, té poder.","He who has a mouth, has power.","Neutral"
"Per cada roca, hi ha un camí.","For every rock, there is a path.","Neutral"
"Les coses no sempre són el que semblen.","Things are not always what they seem.","Neutral"
"Qui busca troba.","He who searches, finds.","Positive"
"L'amor és cec.","Love is blind.","Negative"
"Després de la tempesta ve la calma.","After the storm comes the calm.","Positive"
"Els qui es creuen massa, sovint cauen més fort.","Those who believe too much in themselves often fall harder.","Negative"
"No deixis per demà el que pots fer avui.","Don't put off until tomorrow what you can do today.","Positive"
"Qui no pensa, no viu.","He who doesn't think, doesn't live.","Negative"
"A la mà de qui et trobes, estàs.","In the hand of the one you're with, you stay.","Neutral"
"No totes les lluernes il·luminen igual.","Not all fireflies light the same.","Neutral"
"Qui vol més, perd tot.","He who wants more, loses everything.","Negative"
